Fecha	Disponibilidad	Demanda	Reserva	Afectación
01-01-2023	3122	2500	622	0
02-01-2023	2981	2600	381	0
03-01-2023	2493	2650	293	0
04-01-2023	2883	2750	133	0
05-01-2023	2688	2760	-72	142
06-01-2023	2585	2700	-115	185
07-01-2023	2670	2650	20	60
08-01-2023	2839	2680	159	0
09-01-2023	2555	2750	-195	265
10-01-2023	2602	2650	-48	118
11-01-2023	2585	2680	-95	165
12-01-2023	2622	2650	-28	98
13-01-2023	2496	2600	-104	174
14-01-2023	2575	2540	35	40
15-01-2023	2572	2470	102	0
16-01-2023	2552	2550	2	70
17-01-2023	2637	2640	-3	70
18-01-2023	2607	2600	7	63
19-01-2023	2723	2650	73	0
20-01-2023	2754	2660	94	0
21-01-2023	2724	2650	74	0
22-01-2023	2666	2650	16	60
23-01-2023	2386	2780	-394	464
24-01-2023	2289	2800	-511	581
25-01-2023	2455	2900	-445	515
26-01-2023	2627	2850	-223	293
27-01-2023	2638	2780	-142	212
28-01-2023	2959	2750	209	0
29-01-2023	2973	2680	293	0
30-01-2023	2773	2750	23	50
31-01-2023	0	0	0	0
01-02-2023	0	0	0	0
02-02-2023	2756	2780	-24	94
03-02-2023	0	0	0	0
04-02-2023	2815	2750	65	0
05-02-2023	3019	2650	369	0
06-02-2023	2723	2800	-77	147
07-02-2023	2820	2800	20	50
08-02-2023	2650	2775	-117	187
09-02-2023	2585	2800	-215	285
10-02-2023	2573	2780	-207	277
11-02-2023	2475	2800	-325	395
12-02-2023	2647	2700	-53	123
13-02-2023	2668	2780	-112	182
14-02-2023	2739	2790	-51	121
15-02-2023	2623	2750	-127	197
16-02-2023	2814	2720	94	0
17-02-2023	2737	2760	-23	-93
18-02-2023	2670	2700	-30	100
19-02-2023	2635	2680	-45	115
20-02-2023	2674	2770	-96	166
21-02-2023	0	0	0	0
22-02-2023	2451	2865	-414	484
23-02-2023	2456	2850	-394	464
24-02-2023	2322	2850	-528	598
25-02-2023	2435	2800	-365	435
26-02-2023	2376	2700	-324	394
27-02-2023	2346	2855	-509	579
28-02-2023	2415	2830	-415	485
01-03-2023	2802	2780	22	50
02-03-2023	2655	2780	-125	195
03-03-2023	2541	2800	-259	329
04-03-2023  2704 2800 -96 166
05-03-2023  2620 2700 -80 150
06-03-2023  2434  2860  -426  496
