Fecha	Disponibilidad	Demanda	Reserva	Afectación Estimada	Afectación Real
01-01-2023	3122	2500	622	0	0
02-01-2023	2981	2600	381	0	0
03-01-2023	2943	2650	293	0	0
04-01-2023	2883	2750	133	0	99
05-01-2023	2688	2760	-72	142	81
06-01-2023	2585	2700	-115	185	0
07-01-2023	2670	2650	20	60	0
08-01-2023	2839	2680	159	0	0
09-01-2023	2555	2750	-195	265	0
10-01-2023	2602	2650	-48	118	0
11-01-2023	2585	2680	-95	165	0
12-01-2023	2622	2650	-28	98	97
13-01-2023	2496	2600	-104	174	95
14-01-2023	2575	2540	35	40	0
15-01-2023	2572	2470	102	0	0
16-01-2023	2552	2550	2	70	74
17-01-2023	2637	2640	-3	70	0
18-01-2023	2607	2600	7	63	0
19-01-2023	2723	2650	73	0	0
20-01-2023	2754	2660	94	0	0
21-01-2023	2724	2650	74	0	170
22-01-2023	2666	2650	16	60	284
23-01-2023	2386	2780	-394	464	524
24-01-2023	2289	2800	-511	581	880
25-01-2023	2455	2900	-445	515	400
26-01-2023	2627	2850	-223	293	79
27-01-2023	2638	2780	-142	212	87
28-01-2023	2959	2750	209	0	0
29-01-2023	2973	2680	293	0	0
30-01-2023	2773	2750	23	50	0
31-01-2023	2732	2720	12	58	77
01-02-2023	2811	2740	71	0	62
02-02-2023	2756	2780	-24	94	175
03-02-2023	2810	2720	30	40	0
04-02-2023	2815	2750	65	0	0
05-02-2023	3019	2650	369	0	0
06-02-2023	2723	2800	-77	147	183
07-02-2023	2820	2800	20	50	93
08-02-2023	2650	2775	-117	187	376
09-02-2023	2585	2800	-215	285	338
10-02-2023	2573	2780	-207	277	546
11-02-2023	2475	2800	-325	395	229
12-02-2023	2647	2700	-53	123	76
13-02-2023	2668	2780	-112	182	496
14-02-2023	2739	2790	-51	121	0
15-02-2023	2623	2750	-127	197	0
16-02-2023	2814	2720	94	0	198
17-02-2023	2737	2760	-23	-93	0
18-02-2023	2670	2700	-30	100	1413
19-02-2023	2635	2680	-45	115	202
20-02-2023	2674	2770	-96	166	166
21-02-2023	2303	2800	-497	567	1018
22-02-2023	2451	2865	-414	484	1082
23-02-2023	2456	2850	-394	464	595
24-02-2023	2322	2850	-528	598	452
25-02-2023	2435	2800	-365	435	513
26-02-2023	2376	2700	-324	394	436
27-02-2023	2346	2855	-509	579	399
28-02-2023	2415	2830	-415	485	265
01-03-2023	2802	2780	22	50	0
02-03-2023	2655	2780	-125	195	314
03-03-2023	2541	2800	-259	329	387
04-03-2023	2704	2800	-96	166	160
05-03-2023	2620	2700	-80	150	341
06-03-2023	2434	2860	-426	496	541
07-03-2023	2277	2860	-583	653	747
08-03-2023	2295	2880	-585	655	614
09-03-2023	2165	2885	-720	790	786
10-03-2023	2260	2885	-625	695	581
11-03-2023	2340	2820	-480	550	388
12-03-2023	2518	2700	-182	252	506
13-03-2023	2550	2750	-200	270	613
14-03-2023	2250	2800	-550	620	648
15-03-2023	2260	2800	-540	610	412
